"tweet_id","sentiment","content"
1,"flirt"," What would you say if I asked you to come over right now?"
2,"flirt","Every message you send me is like a small gift"
3,"flirt","I find it incredibly sexy that you’ve been patient with me about taking things slowly. Trust me, I’m worth the wait!"
4,"flirt","I can’t go to sleep because when I close my eyes, I see your beautiful face!"
5,"flirt","I am so lucky to have you by my side. Everything you do for me never goes unnoticed. Reading your sweet love paragraphs makes me really happy. I am eternally grateful to have your support, and affection."
6,"flirt","If I had a candy bar for every time I thought of you, I would be fat"
7,"flirt","For some reason every love song makes me think of you…"
8,"flirt","Even birds don’t sing today, they also miss the most stunning person in the world, come back to me faster!"
9,"flirt","If nothing lasts forever, I was wondering if you would be my nothing?"
10,"flirt","A day without sunshine is a day without you"
11,"flirt","Forget everything that surrounds you. Think that there’s just you and me in this wide world."
12,"flirt","Each time I see you, your smile gives me light"
13,"flirt","If you were a bullet I would shoot myself to have you in me."
14,"flirt","How do you manage to look so stunning every day? When I look at you, I become speechless."
15,"flirt","Hey, boy, are you a camera? I smile every time I look at you."
16,"flirt","I believe in following my dreams. Can I have your Instagram?"
17,"flirt","Are you a bank loan? Because you got my interest."
18,"flirt","You remind me of my next girlfriend."
19,"flirt","I think the only way you could possibly be more beautiful is if I got to know you."
20,"flirt","Your name is my favorite word."
21,"flirt","If kisses were snowflakes, I’d send you a blizzard."
22,"flirt","Are you Google? Cause I just found what I’m looking for."
23,"flirt","Do you breathe oxygen? We have so much in common."
24,"flirt","Single and looking… anyone wanna be found?"
25,"flirt","Are you a time traveler? Because I absolutely see you in my future."
26,"flirt","Roses are red, bananas are yellow, wanna go out with a nice little fellow?"
27,"flirt","You know, they say that love is when you don’t want to sleep because reality is better than your dreams. And after seeing you, I don’t think I ever want to sleep again."
28,"flirt","Are you tired? Because you’ve been running through my mind all day."
29,"flirt","I’m really glad I just bought life insurance, because when I saw you, my heart stopped."
30,"flirt","I never believed in love at first sight, but that was before I saw you."
31,"flirt","Would you mind giving me a pinch? You’re so cute, I must be dreaming"
32,"flirt","Do you like raisins? How about a date?"
33,"flirt","When I text you goodnight later, what phone number should I use?"
34,"flirt","Do you believe in love at first sight or should I walk by again?"
35,"flirt","Can I borrow a quarter? What for? I want to call my mother and tell her I just met the girl of my dreams."
36,"flirt","Do you have a map? I just got lost in your eyes."
37,"flirt","Oops! I lost my mobile number! Could I have yours?"
38,"flirt","If being sexy was a crime, you’d be guilty as charged."
39,"flirt","Want to go outside and get some fresh air with me? You just took my breath away"
40,"flirt","Can’t wait until tomorrow, because I bet that you get more and more beautiful every day."
41,"flirt","You love flowers, but you cut them. You love animals, but you eat them. You tell me you love me, so now I’m scared!"
42,"flirt","Did you just come out of the oven? Because you’re hot."
43,"flirt","I was feeling a little off today—but you’ve turned me on again!"
44,"flirt","I’m studying to become a historian. I’m especially interested in finding a date."
45,"flirt","Are you a magician? Because when I’m looking at you, you make everyone else disappear!"
46,"flirt","Is your dad a boxer? Because you’re a knockout!"
47,"flirt","I hope our love will be like the number Pi: irrational and endless!"
48,"flirt","I think there’s something wrong with my phone. Your number’s not in it."
49,"flirt","You must be made of Copper and Tellurium—because you’re CuTe!"
50,"flirt","Life without you is like a broken pencil…pointless."
51,"flirt","Something’s wrong with my eyes, because I can’t take them off you"
52,"flirt","You’re so sweet, you’re giving me a toothache"
53,"flirt","I don't have a girlfriend. I just know a girl who would get really mad if she heard me say that"
54,"flirt","I'll be Burger King and you be McDonald's. I'll have it my way, and you'll be lovin' it."
55,"flirt","You may fall from the sky, you may fall from a tree, but the best way to fall... is in love with me"
56,"flirt","My love for you is like dividing by zero - it cannot be defined"
57,"flirt","Are you a keyboard? Because you're my type!"
58,"flirt","If I freeze, it's not a computer virus. I was just stunned by your beauty"
59,"flirt","Are you an exception? I bet I can catch you."
60,"flirt","Can I borrow your cellphone? I need to call animal control cause I just saw a fox!"
61,"flirt","My name is John but you can call me tonight"
62,"flirt","Why did the lady wear a helmet every time she ate? She was on a crash diet!"
63,"flirt","Are your pants 50% off? Cuz they'll be 100% off in my room"
64,"flirt","Well at least your mom thinks you’re pretty"
65,"flirt","My imaginary friend says that you need a therapist"
66,"flirt","I never forget a face, but in your case, I’ll be glad to make an exception"
67,"flirt","When I need a pick me up, I just think of your laugh and it makes me smile"
68,"flirt","Sweet dreams… ..."
69,"flirt","If I had a candy bar for every time I thought of you, I would be fat"
70,"flirt","I heard that the best way to get over someone is to get under someone else"
71,"flirt","Clever as the Devil and twice as pretty"
72,"flirt","I’m a fish swimming by … catch me if you want me"
73,"flirt","From the first time I saw you, I’ve belonged to you completely. I still do. If you want me"
74,"flirt","By the way, I’m wearing the smile you gave me"
75,"flirt","When I need a pick me up, I just think of your laugh and it makes me smile"
76,"flirt","Making you horny and making you smile are my two favorite things"
77,"flirt","Hurry up, before there’s no more night left"
78,"flirt","Do you know what I look best in? Your strong arms!"
79,"flirt","Come live in my heart, and pay no rent"
80,"flirt","That one tickled. If electrocution is your way of flirting, I commend you on your originality"
81,"flirt","You already caught me, but every day, you pull me in deeper and deeper"
82,"flirt","If you stood in front of a mirror holding 11 roses; you will see 12 of the most beautiful things in this world"
83,"flirt","Now turn around and go to sleep. I’m warning you that I plan to sleep with you in my arms all night long"
84,"flirt","I’m jealous of everyone who will get to meet you today"
85,"flirt","My plan was not to fall in love, but I saw your smile and forgot my plans"
86,"flirt","Sweetheart, I have no intention of denying you a thing"
87,"flirt","You are the best decision my heart ever made"
88,"flirt","I’m afraid to lose you and you’re not even mine"
89,"flirt","Sex is a team sport, sugar"
90,"flirt","I loved you for a thousand years and missed you in all of them"
91,"flirt","I don’t mind hot and spicy. Actually find that appealing in a girl. And chicken wings"
92,"flirt","I want you to know that you’re the hottest biscuit this side of the gravy boat"
93,"flirt","Let’s be naughty and save Santa the trip"
94,"flirt","You are adorable, mademoiselle. I study your feet with the microscope and your soul with the telescope"
95,"flirt","I miss your smile"
96,"flirt","I had an amazing dream about you last night"
97,"flirt","I thought perfection is overrated, and then I met you"
98,"flirt","Do I dazzle you?"
99,"flirt","You and I have many pending sunrises"
100,"flirt","I wish you were here next to me right now"
101,"violence","Calls you names, insults you or puts you down"
151,"normal","hai"
152,"normal","hello"
153,"normal","goodmorning"
154,"normal","goodafternoon"
155,"normal","goodnight"
156,"normal","how are you"
157,"normal","iam fine"
158,"normal","iam doing well"
159,"normal","im ok"
160,"normal","how can i help you"
161,"normal","i would like to purchase an item from your website but need it by tomorrow.Do you offer next day delivery?"
162,"normal","yes,i will send you a link to all of our delvery information"
163,"normal","Great"
164,"normal","Wonderful"
165,"normal","Excellent"
166,"normal","Fantastic"
167,"normal","Awesome"
168,"normal","Superb"
169,"normal","Good"
170,"normal","ok"
171,"normal","Excuse me, do you have the time?” or “Do you know what time it is?"
172,"normal","Hi. Is this seat taken?” if the answer is “no”, then you can follow up with “Do you mind if I sit here?"
173,"normal","Pardon me. Do you know what time this place closes?” (assuming you are in a place of business, where “place” can be replaced with “restaurant” or “cafe” or “store"
174,"normal","That is a really nice [hat]. Can I ask where you got it?"
175,"normal","I really like your [shoes]. Did you get them near here?"
176,"normal","That's a cool looking [phone]. Is it easy to use?"
177,"normal","Is that store near here?"
178,"normal","Was it good value?"
179,"normal","Do they have other colours available?"
180,"normal","The reason I asked is because I've been thinking about replacing my phone"
181,"normal","I've been looking for a hat like that to give to my friend"
182,"normal","Yeah, the shoes I have are getting worn out. It's time to get a new pair"
183,"normal","Thanks for the suggestion"
184,"normal","I appreciate the information"
185,"normal","Thank you. That was really helpful."
186,"normal","Are you from this area?"
187,"normal","So, what do you do for a living?"
188,"normal","What brings you here today?"
189,"normal","Do you come here a lot?"
190,"normal","Really? I'm a [vegetarian] too! What made you decide to [stop eating meat]?"
191,"normal","I love [cats]! In fact I [have two]. What type of [cats] do you have?"
192,"normal","[Football] is my favourite sport! What team do you support?"
193,"normal","You're kidding! I [drive a motorcycle] as well. What type of [bike] do you have?"
194,"normal","I don't know. What do you think?"
195,"normal","Has that been your experience too?"
196,"normal","Has that ever happened to you?"
197,"normal","Why do you think that is (the case)?"
198,"normal","Is that a good thing or a bad thing?"
199,"normal","That reminds me…"
200,"normal","Oh hey. Did you hear that…"
201,"normal","Speaking of [horses], I found out that…"
202,"normal","Okay, I'm totally changing the topic now, but I was wondering…"
203,"normal","Not to go off-topic, but I recently heard that…"
204,"normal","I'm not keeping you from something, am I?"
205,"normal","Sorry for taking up so much of your time. Do you need to take off?"
206,"normal","I just realised you're probably in the middle of something. Do you have time to chat?"
207,"normal","Let me know if you need to get going. I don't want to take up all your time."
208,"normal","Well, if you ever want to chat again, I'm usually here [every Monday afternoon]."
209,"normal","Let me give you my email address. If you're ever in the area again it'd be great to meet up"
210,"normal","Feel free to call me if you want to hang out. Here, I'll give you my number."
211,"normal","I really enjoyed our chat. Thanks so much."
212,"normal","It was really nice meeting you."
213,"normal","I had a great time talking with you. Hope to see you again soon."
214,"normal","Actually, that happened to me once."
215,"normal","I totally agree. The same thing happened to me too."
216,"normal","That's pretty common. I heard that a lot of people had the same experience"
217,"normal","Has anyone ever … ?"
218,"normal","How many of you think that …?"
219,"normal","Do a lot of you … ?"
220,"normal","Which one of you … ?"
221,"normal","What do you think [Diana]? Has that ever happened to you?"
222,"normal","Hey [Carlos]. Didn't you also … ?"
223,"normal","Actually, didn't you go there last year too?"
224,"normal","You should ask [Samson] about that. He had the same thing happen to him.”"
225,"normal","Hey, I better get going. I have a long day tomorrow."
226,"normal","Hey guys. Sorry, but I have to run. It was great chatting with you all"
227,"normal","Oh man, it's getting late. I better head out."
228,"normal","Alright guys. Time for me to go. Have a good one"
229,"normal","Do you have a recommendation on any good dishes?"
230,"normal","What would you recommend for someone who hasn't eaten here before?"
231,"normal","What is the best drink here?"
232,"normal","Do you know if the [chow mein] is any good?"
233,"normal","Have you ever had the [asparagus]?"
234,"normal","If you had to eat just one meal for the rest of your life, what would it be?"
235,"normal","What is your favourite dessert?"
236,"normal","What is your favourite spicy dish?"
237,"normal","“Enjoy your pasta!"
238,"normal","Have a good meal!"
239,"normal","How long have you lived here?"
240,"normal","How many people live here?"
241,"normal","Thanks for inviting me to your home."
242,"normal","I had a wonderful time."
243,"normal","Have they announced the boarding time for this flight?"
244,"normal","Are you flying home or are you flying away from home?"
245,"normal","Can you recommend any good restaurants ?"
246,"normal","How long have you been a student here?"
247,"normal","I’m a student."
248,"normal","I run my own business."
249,"normal","Nope, I’m single"
250,"normal","I’m in a relationship"
251,"normal","I’m in a relationship"
252,"violence","Murda Gang bitch its Gang Land"
252,"violence","bad bitches is the only thing that i like"
252,"violence","bitch nigga miss me with it"
252,"violence","bitch plz whatever "
252,"violence","bitches get cut off everyday B"
252,"violence","black bottle &amp; a bad bitch"
253,"violence","broke bitch cant tell me nothing "
254,"violence","cancel that bitch like Nino "
255,"violence","cant you see these hoes wont change"
256,"violence","fuck no that bitch dont even suck dick"
257,"violence","got ya bitch tip toeing on my hardwood floors"
258,"violence","hoe what its hitting for "
259,"violence","i met that pussy on Ocean Dr . i gave that pussy a pill"
260,"violence","i need a trippy bitch who fuck on Hennessy "
261,"violence","i spend my money how i want bitch its my business"
262,"violence","i txt my old bitch my new bitch pussy wetter "
263,"violence","i'd say im back to the old me but my old bitches would get excited "
252,"violence","if you aint bout that Murder Game pussy nigga shut up"
252,"violence","if you're toes ain't done you pussy stinks "
252,"violence","im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that"
252,"violence","is that ya bitc"
252,"violence","it aint nothing to cut a bitch off "
252,"violence",jus meet son now he ya mane ass bitches""
252,"violence","like Snoop said in 94 we dont love these hoes"
252,"violence","most hated but the hoes favorite "
252,"violence","Don't know no ugly bitches! Don't know no broke niggas"
252,"violence","Don't make me make you fall in live with a nigga like meee..."" The birds 1&amp;2 are my favorite songs by Weeknd"
252,"violence","Dropped a stack cause bitch I'm ON"
252,"violence","Dumb bitches do dumb things"
252,"violence","hoe what its hitting for"
252,"violence","these bitches even worst they'll send them guys for you"
252,"violence","yall niggas b cuffing hoes cause yall aint never have bitches"
252,"violence","you dodge a bullet"
252,"violence","young Pill Chamberlain these bitches love my music "
252,"violence","most hated but the hoes favorite"
252,"politics","RSS in school days itself? Indoctrinated since childhood by a thrice banned terror outfit. How sad. ..."
252,"politics","Now Open! Create a FREE U.S. Election Pick'em Pool. Add some excitement to the potential chaos. Pick..."
252,"politics","Words don't exist in Vaccum! Modi's post Pulwama words, 'Ghar main ghuss ke marenge' were meant to g..."
252,"politics","A multitude of supporters from across the length and breath of Bihar came out to listen to Congress ..."
252,"politics","Odisha is blessed with so many rivers but still we struggle for clean water in our households due to..."
252,"politics","My family is BJP family and was waiting to watch movie on Modi ji but some people stopped movie rele..."
252,"politics","Transnational criminal organizations take advantage of the gaps in our legal framework, and make fal..."
252,"politics","Congress &amp; the entire opposition had their opportunity to show their resolve after 26/11, but ca..."
252,"politics","Samjhauta &amp; Malegaon were LeT attacks. Karkare actively worked for Digvijaya to paint them as Hi..."
252,"politics","congress"
252,"politics","congress"
252,"politics","congress"
252,"politics","congress"
252,"politics","congress"
252,"politics","congress"
252,"politics","congress"
252,"politics","congress"
252,"politics","congress"
252,"politics","congress"
252,"politics","congress"
252,"politics","congress"
252,"politics","congress"
252,"politics","congress"
252,"politics","congress"
252,"politics","congress"
252,"politics","congress"
252,"politics","congress"
252,"politics","congress"
252,"politics","congress"
252,"politics","congress"
252,"politics","congress"
252,"politics","congress"
252,"politics","congress"


